央视频道,#genre#
四海钓鱼,http://112.17.40.145/PLTV/88888888/224/3221226533/index.m3u8   失效
茶频道,http://112.17.40.145/PLTV/88888888/224/3221226744/index.m3u8
先锋乒羽,http://183.215.102.57:8089/180000001001/00000000000000020000000000182319/main.m3u8
湖南经视,http://183.215.102.57:8089/180000001001/00000001000000000002000000113182/main.m3u8
湖南电视剧,http://183.215.102.57:8089/180000001001/00000001000000000007000000001245/main.m3u8
湖南电影,http://183.215.102.57:8089/180000001001/00000001000000000007000000001246/main.m3u8
湖南都市,http://183.215.102.57:8089/180000001001/00000001000000000007000000001249/main.m3u8

湖南公共,http://183.215.102.57:8089/180000001001/00000001000000000008000000047425/main.m3u8
湖南娱乐,http://183.215.102.57:8089/180000001001/00000001000000000007000000001248/main.m3u8
金鹰卡通,http://183.215.102.57:8089/180000001001/00000001000000000007000000001247/main.m3u8
湖南国际,http://183.215.102.57:8089/180000001001/00000001000000000008000000047426/main.m3u8
湖南教育,http://183.215.102.57:8089/180000001001/00000001000000000023000000196697/main.m3u8

记录探索,#genre#
Channel V音乐台,rtmp://ivi.bupt.edu.cn:1935/livetv/channelv
求索一,http://39.134.65.162/PLTV/88888888/224/3221225713/index.m3u8
求索二,http://39.134.65.162/PLTV/88888888/224/3221225715/index.m3u8
求索三,http://39.134.65.162/PLTV/88888888/224/3221225728/index.m3u8
求索四,http://39.134.65.162/PLTV/88888888/224/3221225730/index.m3u8
求索动物,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8
求索生活,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8
求索科学,http://39.134.66.66/PLTV/88888888/224/3221225728/index.m3u8
求索记录,http://39.134.66.66/PLTV/88888888/224/3221225713/index.m3u8
求索科学移动2,http://39.134.182.236/PLTV/88888888/224/3221226608/index.m3u8
求索记录4K,http://39.134.65.162/PLTV/88888888/224/3221225713/index.m3u8
Star Sports,rtmp://58.200.131.2:1935/livetv/starsports
Channel,rtmp://58.200.131.2:1935/livetv/channelv
探索频道,rtmp://58.200.131.2:1935/livetv/discovery
国家地理频道,rtmp://58.200.131.2:1935/livetv/natlgeo
全纪实,http://183.207.255.188/live/program/live/qjshd/4000000/mnf.m3u8


金鹰纪实,http://183.215.102.57:8089/180000001001/00000001000000000016000000007228/main.m3u8
上海纪实人文 3M1080,http://hdtv.lzu6.edu.cn/hls/docuchina.m3u8
北京冬奥纪实 3M1080,http://hdtv.lzu6.edu.cn/hls/btv11hd.m3u8
北京冬奥纪实 8M1080,http://hdtv.lzu6.edu.cn/hls/hls162.m3u8
金鹰纪实 8M1080,http://hdtv.lzu6.edu.cn/hls/hls163.m3u8
StarSports 576,http://hdtv.lzu6.edu.cn/hls/starsports.m3u8
国家地理 576,http://hdtv.lzu6.edu.cn/hls/natlgeo.m3u8
探索频道 576,http://hdtv.lzu6.edu.cn/hls/discovery.m3u8
环球奇观 576,http://hdtv.lzu6.edu.cn/hls/hls62.m3u8
CHC高清电影 8M1080,http://hdtv.lzu6.edu.cn/hls/hls260.m3u8
CHC动作电影 8M1080,http://hdtv.lzu6.edu.cn/hls/hls261.m3u8
北京冬奥纪实,http://39.134.135.82/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226438/index.m3u8
求索动物,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8    黑龙江PLTV鸡西移动
求索生活,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8
求索科学,http://39.134.66.66/PLTV/88888888/224/3221225728/index.m3u8
求索纪录,http://39.134.66.66/PLTV/88888888/224/3221225713/index.m3u8
上海纪实人文,http://39.134.66.66/PLTV/88888888/224/3221225673/index.m3u8
北京冬奥纪实,http://39.134.66.66/PLTV/88888888/224/3221225670/index.m3u8

BTV冬奥纪实-高清,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls69a25.m3u8
金鹰纪实-高清,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls75a26.m3u8
上视纪实-高清,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/docuchina.m3u8
全纪实-高清,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls184a639.m3u8
足球频道-高清,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/zqhd.m3u8

国家地理野生,vjms://58.215.133.185:8500:3502/live/cid=263#vjms://121.14.222.75:8500:3502/live/cid=263#vjms://23.237.33.155:8500:3502/live/cid=263
国家地理,vjms://58.215.133.185:8500:3502/live/cid=115#vjms://121.14.222.75:8500:3502/live/cid=115#vjms://23.237.33.155:8500:3502/live/cid=115#rtmp://58.200.131.2:1935/livetv/natlgeo
探索频道,rtmp://58.200.131.2:1935/livetv/discovery
探索亚洲,vjms://58.215.133.185:8500:3502/live/cid=440#vjms://121.14.222.75:8500:3502/live/cid=440#vjms://23.237.33.155:8500:3502/live/cid=440
探索科学,vjms://58.215.133.185:8500:3502/live/cid=457#vjms://121.14.222.75:8500:3502/live/cid=457#vjms://23.237.33.155:8500:3502/live/cid=457
动物星球,vjms://58.215.133.185:8500:3502/live/cid=3#vjms://121.14.222.75:8500:3502/live/cid=3#p8p://0198.02686.cc:16871/5d1a69da000a2acf11be734ba3f44eda.ts#vjms://23.237.33.155:8500:3502/live/cid=3
TLC旅游生活,vjms://58.215.133.185:8500:3502/live/cid=103#vjms://121.14.222.75:8500:3502/live/cid=103#vjms://23.237.33.155:8500:3502/live/cid=103
亚洲旅游台,p8p://0198.02686.cc:16871/5d1a69b100010db711bdd0ce73edfa51.ts


4K频道,#genre#

咪咕4K,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226399/1.m3u8
北京IPTV4K超清 17M2160,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226550/1.m3u8
北京IPTV淘BABY,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226554/1.m3u8
